Customer_ID,Occupation,Income level,YoB,Gender,Membership_Tier
1,Student,2-5M,2000.0,Female,Standard
2,Student,2-5M,2000.0,Female,Standard
3,Student,2-5M,2003.0,Male,Standard
4,Student,2-5M,2005.0,Male,Silver
5,Freelancer,10-20M,1995.0,Male,Silver
6,Office Worker,20-50M,1987.0,Female,Silver
7,Manager,5-10M,1992.0,Female,Gold
8,Business Owner,20-50M,1980.0,Female,Diamond
9,Office Worker,10-20M,1988.0,Female,Gold
10,Office Worker,20-50M,1993.0,Female,Gold
11,Business Owner,20-50M,1978.0,Female,Diamond
12,Student,< 2M,2004.0,Female,Silver
13,Manager,20-50M,1989.0,Female,Silver
14,Student,< 2M,2002.0,Female,Standard
15,Office Worker,5-10M,1985.0,Male,Silver
16,Office Worker,20-50M,1993.0,Male,Standard
17,Director,20-50M,1984.0,Female,Gold
18,Student,< 2M,2000.0,Male,Standard
19,Student,2-5M,2004.0,Male,Standard
20,Director,20-50M,1979.0,Female,Diamond
21,Manager,10-20M,1992.0,Female,Standard
22,Office Worker,5-10M,1989.0,Male,Silver
23,Office Worker,5-10M,1987.0,Female,Silver
24,Office Worker,20-50M,1997.0,Female,Standard
25,Student,2-5M,2001.0,Female,Standard
26,Office Worker,20-50M,1998.0,Female,Standard
27,Specialist,20-50M,1978.0,Female,Diamond
28,Freelancer,20-50M,1993.0,Male,Silver
29,Manager,20-50M,1996.0,Male,Standard
30,Office Worker,20-50M,1997.0,Male,Silver
31,Freelancer,5-10M,1991.0,Male,Silver
32,Housewife,> 50M,1994.0,Female,Gold
33,Manager,5-10M,1996.0,Female,Gold
34,Student,2-5M,2004.0,Female,Standard
35,Office Worker,20-50M,1995.0,Male,Silver
36,Student,< 2M,2002.0,Male,Standard
37,Office Worker,5-10M,1992.0,Male,Standard
38,Housewife,20-50M,1978.0,Female,Gold
39,Specialist,20-50M,1987.0,Female,Diamond
40,Specialist,20-50M,1990.0,Female,Gold
41,Office Worker,10-20M,1987.0,Female,Standard
42,Manager,10-20M,1990.0,Female,Standard
43,Manager,20-50M,1996.0,Female,Standard
44,Office Worker,20-50M,1988.0,Male,Silver
45,Student,< 2M,2005.0,Female,Standard
46,Freelancer,10-20M,1997.0,Female,Silver
47,Office Worker,20-50M,1987.0,Female,Silver
48,Office Worker,10-20M,1988.0,Female,Silver
49,Manager,20-50M,1986.0,Female,Silver
50,Student,< 2M,2003.0,Male,Standard
51,Office Worker,5-10M,1989.0,Female,Gold
52,Office Worker,20-50M,1992.0,Male,Gold
53,Student,2-5M,2002.0,Female,Standard
54,Business Owner,20-50M,1985.0,Male,Gold
55,Business Owner,20-50M,1993.0,Female,Gold
56,Office Worker,10-20M,1989.0,Male,Standard
57,Office Worker,5-10M,1986.0,Male,Silver
58,Office Worker,20-50M,1991.0,Female,Standard
59,Office Worker,5-10M,1992.0,Female,Silver
60,Student,< 2M,2005.0,Female,Standard
61,Student,2-5M,2000.0,Male,Standard
62,Manager,20-50M,1995.0,Female,Standard
63,Housewife,> 50M,1992.0,Male,Gold
64,Manager,5-10M,1996.0,Female,Silver
65,Office Worker,5-10M,1988.0,Male,Standard
66,Office Worker,20-50M,1987.0,Female,Standard
67,Freelancer,10-20M,1992.0,Male,Standard
68,Student,< 2M,2000.0,Male,Standard
69,Business Owner,> 50M,1975.0,Female,Gold
70,Business Owner,20-50M,1978.0,Female,Gold
71,Office Worker,20-50M,1994.0,Male,Gold
72,Office Worker,20-50M,1986.0,Male,Standard
73,Office Worker,20-50M,1991.0,Female,Gold
74,Office Worker,10-20M,1994.0,Female,Gold
75,Office Worker,20-50M,1992.0,Female,Standard
76,Student,2-5M,2004.0,Male,Standard
77,Student,2-5M,2002.0,Male,Standard
78,Student,2-5M,2000.0,Male,Standard
79,Office Worker,20-50M,1989.0,Female,Silver
80,Student,2-5M,2001.0,Female,Standard
81,Director,20-50M,1983.0,Female,Diamond
82,Specialist,20-50M,1983.0,Female,Diamond
83,Office Worker,5-10M,1991.0,Male,Gold
84,Specialist,20-50M,1985.0,Female,Gold
85,Student,< 2M,2001.0,Female,Standard
86,Freelancer,20-50M,1996.0,Female,Silver
87,Student,< 2M,2003.0,Female,Standard
88,Student,< 2M,2004.0,Female,Standard
89,Freelancer,10-20M,1993.0,Female,Standard
90,Student,2-5M,2000.0,Female,Standard
91,Student,< 2M,2003.0,Male,Standard
92,Director,> 50M,1979.0,Female,Gold
93,Office Worker,10-20M,1997.0,Female,Gold
94,Freelancer,10-20M,1992.0,Male,Standard
95,Office Worker,10-20M,1989.0,Female,Standard
96,Office Worker,10-20M,1988.0,Female,Standard
97,Director,20-50M,1980.0,Female,Diamond
98,Freelancer,20-50M,1987.0,Female,Silver
99,Student,2-5M,2001.0,Female,Standard
100,Student,< 2M,2003.0,Female,Standard
101,Student,< 2M,2003.0,Male,Standard
102,Office Worker,5-10M,1990.0,Male,Standard
103,Student,2-5M,2000.0,Male,Silver
104,Student,2-5M,2000.0,Male,Standard
105,Office Worker,10-20M,1988.0,Female,Gold
106,Student,2-5M,2000.0,Female,Standard
107,Student,< 2M,2004.0,Male,Standard
108,Office Worker,20-50M,1995.0,Female,Standard
109,Manager,20-50M,1988.0,Female,Standard
110,Office Worker,5-10M,1997.0,Male,Gold
111,Freelancer,5-10M,1991.0,Male,Gold
